Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,2789.000000,2789.000000,2710.000000,2721.000000,2715.144531,7369
2018-09-11,2721.000000,2839.149902,2690.000000,2716.500000,2710.654297,7679
2018-09-12,2735.449951,2779.000000,2667.000000,2755.199951,2749.270996,12506
2018-09-14,2785.949951,2785.949951,2650.000000,2743.149902,2737.246826,7317
2018-09-17,2655.000000,2733.699951,2635.000000,2694.250000,2688.452148,49597
2018-09-18,2719.000000,2785.000000,2705.000000,2733.350098,2727.468018,9857
2018-09-19,2750.000000,2765.000000,2660.000000,2709.550049,2703.719482,5527
2018-09-21,2750.000000,2750.000000,2555.050049,2654.500000,2648.787842,24466
2018-09-24,2620.000000,2647.649902,2515.050049,2600.050049,2594.454834,13693
2018-09-25,2629.899902,2629.899902,2521.699951,2563.649902,2558.133301,5279
2018-09-26,2563.649902,2600.000000,2500.000000,2510.500000,2505.097656,6679
2018-09-27,2575.000000,2639.000000,2548.000000,2608.399902,2602.786865,60299
2018-09-28,2648.949951,2655.000000,2565.000000,2611.800049,2606.179688,34525
2018-10-01,2615.000000,2620.100098,2525.000000,2591.850098,2586.272705,19749
2018-10-03,2566.149902,2590.000000,2535.000000,2551.199951,2545.709961,24029
2018-10-04,2534.000000,2568.399902,2490.300049,2507.800049,2502.403564,5489
2018-10-05,2545.000000,2600.000000,2451.000000,2455.199951,2449.916504,107297
2018-10-08,2443.000000,2443.000000,2311.449951,2381.300049,2376.175537,21716
2018-10-09,2399.899902,2417.350098,2340.000000,2347.000000,2341.949463,6081
2018-10-10,2341.100098,2478.149902,2340.000000,2439.949951,2434.699463,239762
2018-10-11,2388.000000,2399.449951,2330.050049,2371.399902,2366.296875,28093
2018-10-12,2380.000000,2448.000000,2380.000000,2429.300049,2424.072510,12119
2018-10-15,2429.000000,2446.600098,2375.000000,2393.000000,2387.850586,77614
2018-10-16,2386.250000,2419.750000,2350.000000,2365.000000,2359.910645,19598
2018-10-17,2399.000000,2418.000000,2298.300049,2329.149902,2324.137695,24081
2018-10-19,2339.899902,2360.449951,2214.050049,2259.699951,2254.837402,35675
2018-10-22,2274.000000,2298.100098,2216.050049,2240.149902,2235.329346,20288
2018-10-23,2248.899902,2248.899902,2180.000000,2198.449951,2193.719238,8197
2018-10-24,2200.050049,2240.000000,2160.000000,2170.750000,2166.078857,10153
2018-10-25,2180.600098,2194.949951,2098.000000,2105.300049,2100.769531,8403
2018-10-26,2110.000000,2118.449951,2030.099976,2084.250000,2079.764893,10842
2018-10-29,2061.000000,2150.000000,2061.000000,2102.199951,2097.676270,9091
2018-10-30,2060.149902,2129.800049,2041.150024,2080.050049,2075.573975,13932
2018-10-31,2055.600098,2113.899902,2055.600098,2094.399902,2089.893066,8062
2018-11-01,2111.000000,2513.250000,2075.000000,2098.850098,2094.333496,157135
2018-11-02,2120.050049,2154.000000,2120.050049,2140.300049,2135.694336,79847
2018-11-05,2132.899902,2175.000000,2130.100098,2149.800049,2145.174072,13162
2018-11-06,2160.000000,2162.300049,2120.149902,2124.449951,2119.878418,12575
